Log File,App Name,Third Party,Data Structure,Level
com.amazon.avod.thirdpartyclient,amazonPrimeVideo,N/A,JSON,D
com.amazon.mShop.android.shopping,amazonShopping,N/A,URL,D
com.amazon.mShop.android.shopping,amazonShopping,N/A,URL,D
com.amazon.mShop.android.shopping,amazonShopping,N/A,Mixed,D
com.amazon.mShop.android.shopping,amazonShopping,N/A,Single Variable,D
com.amazon.mShop.android.shopping,amazonShopping,N/A,Single Variable,D
com.arlo.app,arlo,N/A,Single Variable,D
com.arlo.app,arlo,N/A,URL,D
com.arlo.app,arlo,N/A,URL,D
com.arlo.app,arlo,N/A,URL,D
com.bbm,bbm,N/A,Single Variable,D
com.bfs.papertoss,papertoss,N/A,Equation,V
com.bfs.papertoss,papertoss,N/A,Equation,V
com.bfs.papertoss,papertoss,N/A,JSON,V
com.bfs.papertoss,papertoss,N/A,JSON,V
com.bfs.papertoss,papertoss,N/A,JSON,V
com.bfs.papertoss,papertoss,N/A,JSON,V
com.bfs.papertoss,papertoss,N/A,JSON,V
com.bfs.papertoss,papertoss,N/A,JSON,V
com.bfs.papertoss,papertoss,N/A,JSON,V
com.bfs.papertoss,papertoss,N/A,JSON,V
com.bfs.papertoss,papertoss,N/A,Equation,V
com.bfs.papertoss,papertoss,N/A,JSON,V
com.bfs.papertoss,papertoss,N/A,JSON,V
com.bfs.papertoss,papertoss,N/A,JSON,V
com.bfs.papertoss,papertoss,N/A,JSON,V
com.dianxinos.dxbs,duBatterySaver,N/A,URL,I
com.dianxinos.dxbs,duBatterySaver,N/A,URL,W
com.fox.now,foxNow,N/A,Array,I
com.foxsports.android,foxSports,N/A,Equation,D
com.gau.go.launcherex.gowidget.weatherwidget,goWeather,N/A,Equation,I
com.gau.go.launcherex.gowidget.weatherwidget,goWeather,N/A,Data Stream,D
com.gau.go.launcherex.gowidget.weatherwidget,goWeather,N/A,Equation,I
com.gau.go.launcherex.gowidget.weatherwidget,goWeather,N/A,Data Stream,D
com.gau.go.launcherex.gowidget.weatherwidget,goWeather,N/A,Data Stream,D
com.gau.go.launcherex.gowidget.weatherwidget,goWeather,N/A,Data Stream,D
com.gau.go.launcherex.gowidget.weatherwidget,goWeather,N/A,Data Stream,D
com.gau.go.launcherex.gowidget.weatherwidget,goWeather,N/A,Data Stream,D
com.gau.go.launcherex.gowidget.weatherwidget,goWeather,N/A,Data Stream,D
com.gau.go.launcherex.gowidget.weatherwidget,goWeather,N/A,Data Stream,D
com.gau.go.launcherex.gowidget.weatherwidget,goWeather,N/A,Data Stream,D
com.gau.go.launcherex.gowidget.weatherwidget,goWeather,N/A,Data Stream,D
com.gau.go.launcherex.gowidget.weatherwidget,goWeather,N/A,Data Stream,D
com.gau.go.launcherex.gowidget.weatherwidget,goWeather,N/A,Data Stream,D
com.gau.go.launcherex.gowidget.weatherwidget,goWeather,N/A,Data Stream,D
com.gau.go.launcherex.gowidget.weatherwidget,goWeather,N/A,Data Stream,D
com.gau.go.launcherex.gowidget.weatherwidget,goWeather,N/A,Data Stream,D
com.gau.go.launcherex.gowidget.weatherwidget,goWeather,N/A,Data Stream,D
com.gau.go.launcherex.gowidget.weatherwidget,goWeather,N/A,Data Stream,D
com.gau.go.launcherex.gowidget.weatherwidget,goWeather,N/A,Data Stream,D
com.gau.go.launcherex.gowidget.weatherwidget,goWeather,N/A,Data Stream,D
com.gau.go.launcherex.gowidget.weatherwidget,goWeather,N/A,Data Stream,D
com.gau.go.launcherex.gowidget.weatherwidget,goWeather,N/A,JSON,D
com.gau.go.launcherex.gowidget.weatherwidget,goWeather,N/A,Data Stream,D
com.gau.go.launcherex.gowidget.weatherwidget,goWeather,N/A,Data Stream,D
com.gau.go.launcherex.gowidget.weatherwidget,goWeather,N/A,Data Stream,D
com.gau.go.launcherex.gowidget.weatherwidget,goWeather,N/A,Equation,I
com.gau.go.launcherex.gowidget.weatherwidget,goWeather,N/A,URL,D
com.gau.go.launcherex.gowidget.weatherwidget,goWeather,N/A,Data Stream,D
com.gau.go.launcherex.gowidget.weatherwidget,goWeather,N/A,Data Stream,D
com.gau.go.launcherex.gowidget.weatherwidget,goWeather,N/A,Data Stream,D
com.gau.go.launcherex.gowidget.weatherwidget,goWeather,N/A,Data Stream,D
com.gau.go.launcherex.gowidget.weatherwidget,goWeather,N/A,Data Stream,D
com.gau.go.launcherex.gowidget.weatherwidget,goWeather,N/A,Data Stream,D
com.gau.go.launcherex.gowidget.weatherwidget,goWeather,N/A,Data Stream,D
com.gau.go.launcherex.gowidget.weatherwidget,goWeather,N/A,Data Stream,D
com.gau.go.launcherex.gowidget.weatherwidget,goWeather,N/A,Data Stream,D
com.gau.go.launcherex.gowidget.weatherwidget,goWeather,N/A,Data Stream,D
com.gau.go.launcherex.gowidget.weatherwidget,goWeather,N/A,Data Stream,D
com.gau.go.launcherex.gowidget.weatherwidget,goWeather,N/A,Data Stream,D
com.gau.go.launcherex.gowidget.weatherwidget,goWeather,N/A,Data Stream,D
com.gau.go.launcherex.gowidget.weatherwidget,goWeather,N/A,Data Stream,D
com.gau.go.launcherex.gowidget.weatherwidget,goWeather,N/A,Data Stream,D
com.gau.go.launcherex.gowidget.weatherwidget,goWeather,N/A,Data Stream,D
com.gau.go.launcherex.gowidget.weatherwidget,goWeather,N/A,Data Stream,D
com.gau.go.launcherex.gowidget.weatherwidget,goWeather,N/A,Data Stream,D
com.gau.go.launcherex.gowidget.weatherwidget,goWeather,N/A,Data Stream,D
com.gau.go.launcherex.gowidget.weatherwidget,goWeather,N/A,Data Stream,D
com.gau.go.launcherex.gowidget.weatherwidget,goWeather,N/A,Data Stream,D
com.gau.go.launcherex.gowidget.weatherwidget,goWeather,N/A,Data Stream,D
com.gau.go.launcherex.gowidget.weatherwidget,goWeather,N/A,Data Stream,D
com.gau.go.launcherex.gowidget.weatherwidget,goWeather,N/A,Data Stream,D
com.gau.go.launcherex.gowidget.weatherwidget,goWeather,N/A,Data Stream,D
com.gau.go.launcherex.gowidget.weatherwidget,goWeather,N/A,Data Stream,D
com.gau.go.launcherex.gowidget.weatherwidget,goWeather,N/A,Data Stream,D
com.gau.go.launcherex.gowidget.weatherwidget,goWeather,N/A,Data Stream,D
com.gau.go.launcherex.gowidget.weatherwidget,goWeather,N/A,Data Stream,D
com.gau.go.launcherex.gowidget.weatherwidget,goWeather,N/A,Data Stream,D
com.gau.go.launcherex.gowidget.weatherwidget,goWeather,N/A,Data Stream,D
com.gau.go.launcherex.gowidget.weatherwidget,goWeather,N/A,Data Stream,D
com.gau.go.launcherex.gowidget.weatherwidget,goWeather,N/A,Data Stream,D
com.gau.go.launcherex.gowidget.weatherwidget,goWeather,N/A,Data Stream,D
com.gau.go.launcherex.gowidget.weatherwidget,goWeather,N/A,Data Stream,D
com.gau.go.launcherex.gowidget.weatherwidget,goWeather,N/A,Data Stream,D
com.gau.go.launcherex.gowidget.weatherwidget,goWeather,N/A,Data Stream,D
com.gau.go.launcherex.gowidget.weatherwidget,goWeather,N/A,Data Stream,D
